"","Time","AgeGrpStart","ISO3_code","PopTotal"
"741",2024,25,"REU",62.353
"742",2024,30,"REU",56.585
"743",2024,35,"REU",54.91
"744",2024,40,"REU",55.953
"745",2024,45,"REU",59.144
"746",2024,50,"REU",63.68
"747",2024,55,"REU",66.798
"748",2024,60,"REU",57.375
"749",2024,65,"REU",46.318
"750",2024,70,"REU",35.786
"751",2024,75,"REU",23.836
"752",2024,80,"REU",16.22
"753",2024,85,"REU",9.848
"754",2024,90,"REU",4.173
"755",2024,95,"REU",1.241
"756",2024,100,"REU",0.301
"757",2024,0,"RWA",1945.715
"758",2024,5,"RWA",1798.074
"759",2024,10,"RWA",1655.651
"760",2024,15,"RWA",1581.543
"761",2024,20,"RWA",1356.402
"762",2024,25,"RWA",1143.27
"763",2024,30,"RWA",1032.859
"764",2024,35,"RWA",958.551
"765",2024,40,"RWA",782.349
"766",2024,45,"RWA",524.574
"767",2024,50,"RWA",400.072
"768",2024,55,"RWA",318.335
"769",2024,60,"RWA",285.488
"770",2024,65,"RWA",211.06
"771",2024,70,"RWA",132.363
"772",2024,75,"RWA",68.414
"773",2024,80,"RWA",37.376
"774",2024,85,"RWA",15.953
"775",2024,90,"RWA",5.215
"776",2024,95,"RWA",0.952
"777",2024,100,"RWA",0.138
"778",2024,0,"SYC",8.12
"779",2024,5,"SYC",8.48
"780",2024,10,"SYC",8.123
"781",2024,15,"SYC",7.387
"782",2024,20,"SYC",6.793
"783",2024,25,"SYC",7.96
"784",2024,30,"SYC",8.302
"785",2024,35,"SYC",8.235
"786",2024,40,"SYC",8.172
"787",2024,45,"SYC",8.197
"788",2024,50,"SYC",6.917
"789",2024,55,"SYC",6.282
"790",2024,60,"SYC",5.618
"791",2024,65,"SYC",3.947
"792",2024,70,"SYC",2.359
"793",2024,75,"SYC",1.462
"794",2024,80,"SYC",0.874
"795",2024,85,"SYC",0.481
"796",2024,90,"SYC",0.203
"797",2024,95,"SYC",0.051
"798",2024,100,"SYC",0.007
"799",2024,0,"SOM",3396.335
"800",2024,5,"SOM",2866.354
"801",2024,10,"SOM",2393.761
"802",2024,15,"SOM",1996.457
"803",2024,20,"SOM",1666.686
"804",2024,25,"SOM",1371.644
"805",2024,30,"SOM",1008.65
"806",2024,35,"SOM",887.42
"807",2024,40,"SOM",720.167
"808",2024,45,"SOM",561.895
"809",2024,50,"SOM",446.964
"810",2024,55,"SOM",356.545
"811",2024,60,"SOM",279.253
"812",2024,65,"SOM",208.244
"813",2024,70,"SOM",141.432
"814",2024,75,"SOM",72.823
"815",2024,80,"SOM",33.086
"816",2024,85,"SOM",11.345
"817",2024,90,"SOM",2.328
"818",2024,95,"SOM",0.317
"819",2024,100,"SOM",0.021
"820",2024,0,"SSD",1443.858
"821",2024,5,"SSD",1615.086
"822",2024,10,"SSD",1692.737
"823",2024,15,"SSD",1398.37
"824",2024,20,"SSD",1106.287
"825",2024,25,"SSD",636.663
"826",2024,30,"SSD",528.299
"827",2024,35,"SSD",481.569
"828",2024,40,"SSD",526.664
"829",2024,45,"SSD",494.491
"830",2024,50,"SSD",405.597
"831",2024,55,"SSD",299.731
"832",2024,60,"SSD",219.39
"833",2024,65,"SSD",151.185
"834",2024,70,"SSD",92.309
"835",2024,75,"SSD",55.823
"836",2024,80,"SSD",24.455
"837",2024,85,"SSD",7.139
"838",2024,90,"SSD",1.108
"839",2024,95,"SSD",0.036
"840",2024,100,"SSD",0
"841",2024,0,"UGA",8094.691
"842",2024,5,"UGA",7176.005
"843",2024,10,"UGA",6523.818
"844",2024,15,"UGA",5784.224
"845",2024,20,"UGA",5001.747
"846",2024,25,"UGA",4199.241
"847",2024,30,"UGA",3341.735
"848",2024,35,"UGA",2471.258
"849",2024,40,"UGA",1791.658
"850",2024,45,"UGA",1412.088
"851",2024,50,"UGA",1143.828
"852",2024,55,"UGA",856.697
"853",2024,60,"UGA",599.615
"854",2024,65,"UGA",414.284
"855",2024,70,"UGA",261.969
"856",2024,75,"UGA",116.781
"857",2024,80,"UGA",42.319
"858",2024,85,"UGA",13.907
"859",2024,90,"UGA",3.237
"860",2024,95,"UGA",0.515
"861",2024,100,"UGA",0.078
"862",2024,0,"TZA",11085.207
"863",2024,5,"TZA",9850.949
"864",2024,10,"TZA",8485.445
"865",2024,15,"TZA",7550.078
"866",2024,20,"TZA",6268.456
"867",2024,25,"TZA",5026.944
"868",2024,30,"TZA",4196.061
"869",2024,35,"TZA",3721.771
"870",2024,40,"TZA",3210.577
"871",2024,45,"TZA",2538.95
"872",2024,50,"TZA",1891.026
